id;valuez;orderz;tenent_code
1;architectures Michigan Bedfordshire;75877;bifurcated killer Human
2;programming strategize transmit;82316;XML Cook Islands
3;Illinois;18613;matrices
4;Electronics deposit robust;29524;XML Lake Licensed
5;backing up parallelism Baht;77112;invoice Hat
6;Mountains Gorgeous Plastic Table Program;39182;Saint Pierre and Miquelon
7;Toys paradigms;52251;Handmade Frozen Mouse Diverse
8;Home;43748;TCP
9;microchip;96684;Re-engineered
10;payment applications;75906;Money Market Account National
