id;valuez;orderz;tenent_code
1;programming back-end Bike;71201;bypassing
2;program;42011;National
3;Extension calculate withdrawal;62092;bricks-and-clicks synthesizing
4;parsing Proactive;3111;feed
5;extranet;68632;Handcrafted Wooden Mouse
6;deposit Assistant Gorgeous Steel Tuna;34038;XML orange sticky
7;Shoes;30394;invoice Interactions
8;Right-sized neural Handcrafted Fresh Ball;65076;SMTP Toys Computer
9;Isle Flats;86456;Brunei Darussalam synergize
10;primary Landing Books;42144;Automotive Specialist Fresh
