id;valuez;orderz;tenent_code
1;interface Saint Lucia;59034;Borders array Delaware
2;Refined New York PNG;43380;Shoes
3;Jewelery Reduced;72646;Engineer Intelligent transition
4;deposit knowledge user input;81511;Savings Account Indian Rupee
5;haptic Macedonia;522;program Sports back up
6;parse;75867;Croatian Kuna hack
7;implementation XML Liaison;36830;Port application
8;plum Cotton withdrawal;187;Chair Kids Pants
9;cross-platform;9299;Utah Mission
10;protocol Awesome;22543;Kwacha Generic Granite Chicken
