id;valuez;orderz;tenent_code
1;Avon;15004;customer loyalty alarm Station
2;Investment Account RSS;39239;Interactions Frozen Licensed
3;throughput Trinidad and Tobago Dollar;43760;Extended
4;Program Triple-buffered online;82513;Borders e-enable
5;deposit Personal Loan Account;6665;Cambridgeshire Computer
6;Analyst bandwidth Small Steel Computer;74620;deposit primary Small
7;Optimization;73750;web-enabled workforce
8;Consultant Branding;78384;e-business
9;Awesome invoice;76437;full-range
10;Ergonomic;51465;Product 1080p Pre-emptive
